"id","subject","body","label"
"1","FINAL NOTICE: Your account will be permanently deleted","Dear Customer, this is your FINAL NOTICE. Your account has been flagged for suspicious activity. You must verify your identity within the next 6 hours to avoid permanent deletion. Click here: http://account-verify-secure.net/confirm and provide your full name, SSN, and credit card number. Account Security Team.","1"
"2","Team lunch this Friday — suggestions?","Hi everyone! We're planning a team lunch this Friday to celebrate Q2 closing. Do you have any restaurant preferences? I'm thinking somewhere near the office that can accommodate 12 people. Please reply by Wednesday so I can make a reservation. Thanks, Sarah","0"
"3","Your PayPal account has been limited","We've noticed unusual activity in your PayPal account. Your account access has been temporarily limited. To restore full access, please verify your information at: http://paypal-account-restore.cc/verify — Enter your email, password, and credit card details. Failure to verify within 24 hours will result in permanent account suspension. PayPal Security Team.","1"
"4","Project update: Q2 milestones achieved","Hi team, great news! We've successfully hit all our Q2 milestones ahead of schedule. The client demo went very well yesterday and they've expressed interest in expanding the contract. I'll share the full report by end of week. Let's keep up the momentum! Best, Alex","0"
"5","Verify your Microsoft account — unusual sign-in activity","Microsoft Account Team: We detected a sign-in to your Microsoft account from an unrecognized device. Location: Ukraine. If this wasn't you, click http://microsoft-account-verify.ml/secure to secure your account immediately. You'll need to provide your current password and recovery phone number.","1"
"6","Invitation to review our paper before submission","Dear colleague, I hope this message finds you well. We would be honored if you could review our manuscript titled Deep Learning Approaches for Network Intrusion Detection before we submit it to the journal. The paper is attached. We value your expertise and look forward to your feedback. Kind regards, Dr. Martins.","0"
"7","Feedback request: please complete our survey","Hello! Thank you for using our services this past quarter. We'd love to hear your thoughts through our 5-minute survey. Your feedback helps us improve. Survey link: https://surveys.ourcompany.com/q3-feedback (expires in 14 days). As a thank you, you'll receive 10% off your next purchase. Best regards, Customer Experience Team.","0"
"8","You've been selected for our beta program — claim your reward","Congratulations! You've been randomly selected to participate in our exclusive beta testing program. As a reward, you'll receive a $500 Amazon gift card. To claim: visit http://amazon-gift-claim.pw/beta and enter your Amazon login credentials and shipping address. Offer expires in 12 hours!","1"
"9","Weekly standup notes — week of June 2","Hi all, sharing notes from this week's standups. Key updates: backend team completed the authentication refactor; design finalized mockups for the new dashboard; QA started regression testing on v2.3. No blockers reported. See you all Monday! Cheers, Dev Team.","0"
"10","IRS: Your tax refund is ready — verify your identity","IRS Notice: You have a pending tax refund of $2,847.00. To receive your refund, you must verify your identity immediately at http://irs-refund-verify.net/claim. Provide your Social Security Number, date of birth, and bank account information. Failure to act within 48 hours will void your refund.","1"
"11","Reminder: expense reports due by June 10","Hi team, just a friendly reminder that all expense reports for May must be submitted by June 10th. Please use the new template available on the shared drive and attach all receipts. Reports submitted after the deadline may not be reimbursed in the current cycle. Finance Team.","0"
"12","Your Google account will be closed in 72 hours","Google Security Alert: Due to a violation of our Terms of Service, your Google account will be permanently closed in 72 hours. To appeal this decision and restore your account, visit http://google-account-appeal.tk/restore and provide your current password, phone number, and payment method on file. Google Trust and Safety.","1"
"13","Crypto investment — guaranteed 300% returns in 30 days","Hi, I'm Michael Chen, a crypto analyst with 15 years of experience. My proprietary algorithm has generated consistent returns of 300% for my clients. I'm opening limited spots for new investors. Minimum investment: $500 in Bitcoin. Send to wallet: 1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2. Returns guaranteed or full refund.","1"
"14","Account suspended: confirm your identity to reactivate","Dear User, your account has been suspended due to multiple failed login attempts. To reactivate, you must confirm your identity within 24 hours. Click here: http://account-reactivate-now.cc/confirm and provide your username, password, date of birth, and the last 4 digits of your SSN. Security Operations Center.","1"
"15","Shared document: Q3 planning spreadsheet","Hi everyone, I've shared the Q3 planning spreadsheet on Google Drive. You should receive a notification from Google. The link in that notification is the correct one to use. Please add your team's budget estimates by end of day Friday. Let me know if you have any trouble accessing it. Thanks, Jamie.","0"
"16","Your package could not be delivered — update your address","USPS Notification: We attempted to deliver your package today but were unable to complete the delivery due to an incomplete address. To reschedule, please confirm your details at http://usps-redelivery-update.cc/confirm and pay the $1.99 redelivery fee. Your package will be returned to sender if not claimed within 48 hours.","1"
"17","Onboarding checklist for your first week","Hi Daniel, welcome aboard! Here's your checklist for the first week: set up your workstation, complete the security training module, schedule a 1:1 with your manager, and review the team wiki. Your buddy for the week is Priya — feel free to reach out anytime. We're excited to have you! HR Team.","0"
"18","Apple ID locked — verify to unlock your account","Your Apple ID has been locked due to unusual activity. For your protection, you cannot sign in until you verify your identity. Please confirm your details at http://apple-id-unlock-verify.net/login within 24 hours, including your password and billing information, or your account will be permanently disabled. Apple Support.","1"
"19","Notes from today's product sync","Hey team, quick recap of today's product sync: we agreed to prioritize the search feature for the next sprint, push the notifications redesign to July, and gather more user feedback on the onboarding flow. Action items are in the shared doc. Thanks for a productive meeting! Best, Lauren.","0"
"20","Urgent wire transfer needed — please action today","Hi, I'm currently in a meeting and can't talk on the phone. I need you to process an urgent wire transfer of $18,500 to a new vendor before end of day. Please reply and I'll send the bank details right away. Keep this confidential for now as it's related to a pending acquisition. Thanks, David (CEO).","1"
"21","Quarterly all-hands meeting — June 20","Dear all, our quarterly all-hands meeting is scheduled for June 20 at 3 PM in the main auditorium, with a remote option via the usual video link. Leadership will share company performance, upcoming priorities, and there will be a live Q&A session at the end. Please submit questions in advance. See you there!","0"
"22","Your subscription payment failed — update billing now","We were unable to process the payment for your subscription. To avoid service interruption, please update your billing information immediately at http://billing-update-secure.cc/payment. Enter your card number, expiration date, and CVV to keep your account active. Your account will be downgraded in 24 hours. Billing Department.","1"
"23","Welcome to the newsletter — here's your first issue","Thanks for subscribing to our monthly newsletter! In this issue: industry trends for the second half of the year, three productivity tips from our experts, and an interview with a guest author. You can update your preferences or unsubscribe anytime using the links at the bottom. Enjoy! The Editorial Team.","0"
"24","Security alert: new device signed into your account","We noticed a new sign-in to your account from a Windows device in Berlin, Germany. If this was you, no action is needed. If you don't recognize this activity, please secure your account at http://secure-login-alert.net/verify by confirming your password and the verification code sent to your phone. Account Protection Team.","1"
"25","Conference registration confirmed — see you in October","Hello, your registration for the Annual Cybersecurity Conference is confirmed. The event takes place October 14–16 at the Riverside Convention Center. Your badge can be collected at the registration desk from 8 AM on the first day. The full agenda and venue map are attached. We look forward to seeing you!","0"
"26","You have an unclaimed inheritance of £6,200,000","Dear Beneficiary, I am a senior officer at a private bank in London. A deceased client who shares your surname left an estate of £6,200,000 with no next of kin. I propose we work together to transfer these funds, splitting them 60/40. Please reply with your full name, address, and bank details to proceed. Strict confidentiality assured.","1"
"27","Performance review scheduling — please pick a slot","Hi everyone, it's time for mid-year performance reviews. Please use the scheduling link on the HR portal to book a 45-minute slot with your manager between June 16 and June 27. Come prepared with your self-assessment and a list of goals for the second half of the year. Reach out to HR with any questions. Thanks!","0"
"28","Your email storage is full — upgrade to avoid losing data","Warning: Your mailbox has reached 99% of its storage limit. You will stop receiving new emails and may lose existing messages. To prevent this, verify your account and upgrade your storage for free at http://mail-storage-upgrade.ml/verify by signing in with your email and password. IT Support Team.","1"
"29","Invoice #2025-0612 for consulting services","Dear Mr. Thompson, please find attached invoice #2025-0612 for consulting services rendered in May, totaling $4,200. Payment terms are net 30 days. You can pay via bank transfer using the details on the invoice, or contact our finance team at accounts@consultfirm.com with any questions. Thank you for your business.","0"
"30","Claim your $1,000 Walmart gift card now","Congratulations! You have been chosen to receive a $1,000 Walmart gift card as part of our customer appreciation program. To claim your reward, complete a short survey and confirm your details at http://walmart-rewards-claim.pw/survey. Only the first 100 respondents qualify, so act fast before it's gone!","1"
"31","Updated remote work policy — effective July 1","Dear team, following the recent review, we are updating our remote work policy effective July 1. Employees may now work remotely up to three days per week, subject to manager approval. The full policy document is available on the intranet under HR Policies. Please read it carefully and direct questions to your manager. HR Department.","0"
"32","Bank of America: confirm a recent transaction","Bank of America Fraud Alert: We detected a $762.40 charge at an electronics store that may be unauthorized. To confirm or dispute this transaction, please log in at http://bankofamerica-secure-alert.net/verify and re-enter your online banking username, password, and the card's PIN. If we don't hear from you, your card may be suspended.","1"
