email_id,model,true_label,true_label_text,raw_response,predicted_label,predicted_label_text,phishing_likelihood,indicators,parse_note,is_correct,is_error,was_repaired,elapsed_seconds,input_tokens,output_tokens,error_message
18,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [     ""Unusual sender domains (e.g., mail.net.mk, on.net.mk, signiant.com, gmail.com, suspend2.net) not related to the topic or known mailing list"",     ""Multiple email messages embedded in a single body with 'From' headers and message IDs suggesting a message dump or archive"",     ""No clear origin or purpose of the email beyond a technical discussion on a mailing list"",     ""No urgent or threatening language, but content appears to be a technical forum exchange""   ],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,5,"Unusual sender domains (e.g., mail.net.mk, on.net.mk, signiant.com, gmail.com, suspend2.net) not related to the topic or known mailing list | Multiple email messages embedded in a single body with 'From' headers and message IDs suggesting a message dump or archive | No clear origin or purpose of the email beyond a technical discussion on a mailing list | No urgent or threatening language, but content appears to be a technical forum exchange",,True,False,False,18.4824,1692,129,
51,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [],   ""phishing_likelihood"": 0,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,0,,indicators inválida: [],True,False,False,7.2245,486,26,
62,qwen3_4b,1,PHISHING,"{   ""indicators"": [     ""urgent language promoting quick results"",     ""suspicious product claim with no verification"",     ""use of emotional appeal ('guaranteed results', 'thousands of people')"",     ""unverified health product promotion""   ],   ""phishing_likelihood"": 80,   ""classification"": ""phishing"" }",1,PHISHING,80,"urgent language promoting quick results | suspicious product claim with no verification | use of emotional appeal ('guaranteed results', 'thousands of people') | unverified health product promotion",,True,False,False,8.2373,320,75,
75,qwen3_4b,1,PHISHING,"{   ""indicators"": [     ""Unsuspicious sender domain (cnn.com) matches legitimate source"",     ""Links are from cnn.com and appear to be legitimate video/story links"",     ""No request for personal information or sensitive data"",     ""Email content is consistent with CNN's typical news format"",     ""Includes legitimate CNN branding and footer with privacy/feedback links"",     ""No urgency, threats, or pressure tactics"",     ""No suspicious attachments or shortened URLs"",     ""Date is from 2008, which is outdated but not a red flag for phishing""   ],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,5,"Unsuspicious sender domain (cnn.com) matches legitimate source | Links are from cnn.com and appear to be legitimate video/story links | No request for personal information or sensitive data | Email content is consistent with CNN's typical news format | Includes legitimate CNN branding and footer with privacy/feedback links | No urgency, threats, or pressure tactics | No suspicious attachments or shortened URLs | Date is from 2008, which is outdated but not a red flag for phishing",,False,False,False,17.3296,1605,141,
121,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [     ""legitimate mailing list footer with known domain"",     ""no suspicious links or attachments"",     ""no urgent or threatening language"",     ""content related to a known technical specification (FOAF)"",     ""sender appears to be a known participant in the mailing list""   ],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,5,legitimate mailing list footer with known domain | no suspicious links or attachments | no urgent or threatening language | content related to a known technical specification (FOAF) | sender appears to be a known participant in the mailing list,,True,False,False,8.7859,458,82,
124,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [     ""unusual sender domain (bsfegmjrr-hnq@python.org) not matching expected list domain"",     ""suspicious link (http://www.boostcon.com) with promotional content unrelated to email topic"",     ""generic and informal tone with no clear call to action or urgency""   ],   ""phishing_likelihood"": 20,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,20,unusual sender domain (bsfegmjrr-hnq@python.org) not matching expected list domain | suspicious link (http://www.boostcon.com) with promotional content unrelated to email topic | generic and informal tone with no clear call to action or urgency,,True,False,False,8.8869,402,91,
146,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [     ""sender appears to be internal or technical discussion (no suspicious domain)"",     ""no suspicious links or attachments"",     ""content is technical and contextually relevant to network operations"",     ""no urgent or threatening language"",     ""no request for personal or sensitive information"",     ""domain catherders.com is plausible and not known for phishing""   ],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,5,sender appears to be internal or technical discussion (no suspicious domain) | no suspicious links or attachments | content is technical and contextually relevant to network operations | no urgent or threatening language | no request for personal or sensitive information | domain catherders.com is plausible and not known for phishing,,True,False,False,10.2272,519,97,
208,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [     ""Unsolicited promotional content mixed with job alerts (e.g., Capella University degree offer)"",     ""Sponsored message banner not typical of a legitimate job alert from Dice"",     ""No clear sender or domain verification in the email header (not visible in body)"",     ""Promotional link to Capella University with a click-to-learn message"",     ""Generic and repetitive job listings with no personalization""   ],   ""phishing_likelihood"": 30,   ""classification"": ""phishing"" }",0,LEGÍTIMO,30,"Unsolicited promotional content mixed with job alerts (e.g., Capella University degree offer) | Sponsored message banner not typical of a legitimate job alert from Dice | No clear sender or domain verification in the email header (not visible in body) | Promotional link to Capella University with a click-to-learn message | Generic and repetitive job listings with no personalization",classification (PHISHING) diverge do likelihood (30); usando o likelihood,True,False,False,15.1416,1333,113,
233,qwen3_4b,1,PHISHING,"{   ""indicators"": [     ""Email claims to be from CNN.com but contains outdated content (dated August 1, 2008)"",     ""Links are hosted on a partner URL (cnn.com/video/partners/email/index.html) which is not the main CNN site"",     ""Suspicious link structure with URL parameters that may be used to redirect or track users"",     ""Outdated date (2008) suggests the email is not current and possibly a spoof or archive"",     ""Unusual unsubscribe link with a long, complex parameter string that appears suspicious"",     ""No clear sender address or domain verification in the body (only footer with generic info)""   ],   ""phishing_likelihood"": 30,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,30,"Email claims to be from CNN.com but contains outdated content (dated August 1, 2008) | Links are hosted on a partner URL (cnn.com/video/partners/email/index.html) which is not the main CNN site | Suspicious link structure with URL parameters that may be used to redirect or track users | Outdated date (2008) suggests the email is not current and possibly a spoof or archive | Unusual unsubscribe link with a long, complex parameter string that appears suspicious | No clear sender address or domain verification in the body (only footer with generic info)",,False,False,False,13.33,1612,161,
234,qwen3_4b,0,LEGÍTIMO,"{   ""indicators"": [],   ""phishing_likelihood"": 0,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,0,,indicators inválida: [],True,False,False,7.7323,583,26,
