email_id,model,true_label,true_label_text,raw_response,predicted_label,predicted_label_text,phishing_likelihood,indicators,parse_note,is_correct,is_error,was_repaired,elapsed_seconds,input_tokens,output_tokens,error_message
18,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Unusual sender addresses (mail.net.mk, signiant.com, gmail.com, nigel.suspend2.net)"", ""Multiple email addresses in the thread"", ""No clear indication of a legitimate organization"", ""Use of Jabber ID as an alternative email address""],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,"Unusual sender addresses (mail.net.mk, signiant.com, gmail.com, nigel.suspend2.net) | Multiple email addresses in the thread | No clear indication of a legitimate organization | Use of Jabber ID as an alternative email address",,False,False,False,9.536,1751,94,
51,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""None detected""],   ""phishing_likelihood"": 1,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,1,None detected,,True,False,False,9.8661,524,38,
62,gemma3_4b_qat,1,PHISHING,"```json {   ""indicators"": [""Unusual subject line"", ""Offers a quick solution to a sensitive issue (quitting smoking)"", ""Claims of guaranteed results"", ""Lack of specific information about the product or company""],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,Unusual subject line | Offers a quick solution to a sensitive issue (quitting smoking) | Claims of guaranteed results | Lack of specific information about the product or company,,True,False,False,9.0938,340,72,
75,gemma3_4b_qat,1,PHISHING,"```json {   ""indicators"": [""Suspicious links (multiple URLs with 'index.html' and 'partner' in the URL)"", ""Unusual sender address (CNN.com LP, LLLP, One CNN Center)"", ""Redundant contact information (multiple links to CNN's website)"", ""Generic subject line"", ""Use of '+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=' as a visual separator""],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,"Suspicious links (multiple URLs with 'index.html' and 'partner' in the URL) | Unusual sender address (CNN.com LP, LLLP, One CNN Center) | Redundant contact information (multiple links to CNN's website) | Generic subject line | Use of '+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=' as a visual separator",,True,False,False,10.3375,1767,134,
121,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Unusual subject line"", ""Links to external websites""],   ""phishing_likelihood"": 10,   ""classification"": ""phishing"" } ```",0,LEGÍTIMO,10,Unusual subject line | Links to external websites,classification (PHISHING) diverge do likelihood (10); usando o likelihood,True,False,False,8.4514,506,47,
124,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Unusual subject line"", ""Generic greeting"", ""Links to website""],   ""phishing_likelihood"": 10,   ""classification"": ""phishing"" } ```",0,LEGÍTIMO,10,Unusual subject line | Generic greeting | Links to website,classification (PHISHING) diverge do likelihood (10); usando o likelihood,True,False,False,8.0602,441,50,
146,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Unusual subject line"", ""Mention of spam filters"", ""Request for non-HTML, non-encoded, non-attachments""],   ""phishing_likelihood"": 10,   ""classification"": ""phishing"" } ```",0,LEGÍTIMO,10,"Unusual subject line | Mention of spam filters | Request for non-HTML, non-encoded, non-attachments",classification (PHISHING) diverge do likelihood (10); usando o likelihood,True,False,False,8.4366,560,62,
208,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Sponsored Message"", ""Dice.com in the subject line"", ""Large number of job postings"", ""No clear sender information beyond Dice.com""],   ""phishing_likelihood"": 30,   ""classification"": ""phishing"" } ```",0,LEGÍTIMO,30,Sponsored Message | Dice.com in the subject line | Large number of job postings | No clear sender information beyond Dice.com,classification (PHISHING) diverge do likelihood (30); usando o likelihood,True,False,False,8.8744,1434,65,
233,gemma3_4b_qat,1,PHISHING,"```json {   ""indicators"": [""Suspicious links (multiple URLs with 'index.html' and 'partners/email/index.html' - likely tracking links),"", ""Unusual sender address (CNN, The Most Trusted Name in News, Cable News Network LP, LLLP. One CNN Center, Atlanta, Georgia 30303, A Time Warner Company. All Rights Reserved.),"", ""Redundant URLs and formatting (repeated URLs with 'index.html' and 'partners/email/index.html'),"", ""Unnecessary and repetitive text (e.g., 'Please send comments or suggestions by going to http://www.cnn.com/feedback/', 'Read our privacy guidelines by going to http://www.cnn.com/privacy.html'),"", ""Unnecessary repetition of CNN branding and unsubscribe links.""],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,"Suspicious links (multiple URLs with 'index.html' and 'partners/email/index.html' - likely tracking links), | Unusual sender address (CNN, The Most Trusted Name in News, Cable News Network LP, LLLP. One CNN Center, Atlanta, Georgia 30303, A Time Warner Company. All Rights Reserved.), | Redundant URLs and formatting (repeated URLs with 'index.html' and 'partners/email/index.html'), | Unnecessary and repetitive text (e.g., 'Please send comments or suggestions by going to http://www.cnn.com/feedback/', 'Read our privacy guidelines by going to http://www.cnn.com/privacy.html'), | Unnecessary repetition of CNN branding and unsubscribe links.",,True,False,False,11.0322,1772,200,
234,gemma3_4b_qat,0,LEGÍTIMO,"```json {   ""indicators"": [""Technical subject line"", ""Detailed configuration details"", ""Specific questions about Postfix configuration"", ""No urgent or threatening language""],   ""phishing_likelihood"": 10,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,10,Technical subject line | Detailed configuration details | Specific questions about Postfix configuration | No urgent or threatening language,,True,False,False,9.252,678,60,
