dataset_id,label,src_id,source_file,source_row
0,0,dasovich-j/all_documents/4089.,dataset/legitimo/emails.csv,
1,1,4603d4ee2ee80a5f,dataset/phishing/phishing.csv,397
2,0,ybarbo-p/inbox/332.,dataset/legitimo/emails.csv,
3,1,21c5a3e22622ea1a,dataset/phishing/Nazario_5.csv,2956
4,0,taylor-m/all_documents/1019.,dataset/legitimo/emails.csv,
5,0,blair-l/inbox/158.,dataset/legitimo/emails.csv,
6,1,c8a22a6da1ce47b9,dataset/phishing/Nazario_5.csv,2080
7,0,lokay-m/personal/179.,dataset/legitimo/emails.csv,
8,1,3c5ed5d5368ecc85,dataset/phishing/phishing.csv,69
9,0,maggi-m/deleted_items/771.,dataset/legitimo/emails.csv,
10,1,77c5e4e737462103,dataset/phishing/phishing.csv,59
11,0,shackleton-s/all_documents/4872.,dataset/legitimo/emails.csv,
12,0,dean-c/deleted_items/403.,dataset/legitimo/emails.csv,
13,1,1a04a055ab229d85,dataset/phishing/phishing_2024.csv,173
14,1,50631e877b4add06,dataset/phishing/phishing.csv,421
15,1,678b1b1c8da3a840,dataset/phishing/phishing.csv,315
16,1,9c41739fa921e60d,dataset/phishing/phishing_2024.csv,358
17,1,bcf4988b42ccb473,dataset/phishing/phishing.csv,142
18,0,love-p/_sent_mail/108.,dataset/legitimo/emails.csv,
19,0,shackleton-s/all_documents/9445.,dataset/legitimo/emails.csv,
20,1,3f76ca4156206647,dataset/phishing/phishing_2024.csv,272
21,0,shackleton-s/all_documents/1940.,dataset/legitimo/emails.csv,
22,0,rogers-b/all_documents/1755.,dataset/legitimo/emails.csv,
23,0,dasovich-j/all_documents/337.,dataset/legitimo/emails.csv,
24,0,shackleton-s/all_documents/1656.,dataset/legitimo/emails.csv,
25,1,c1e0869d2c14ea7d,dataset/phishing/phishing.csv,104
26,0,heard-m/deleted_items/120.,dataset/legitimo/emails.csv,
27,1,1d85dc637bce2fd6,dataset/phishing/Nazario_5.csv,2891
28,1,d7f0ec343f952b26,dataset/phishing/Nazario_5.csv,3033
29,1,d15cb74413eaae35,dataset/phishing/phishing.csv,30
30,1,acea32b23237379b,dataset/phishing/phishing_2024.csv,222
31,1,d59ec29c36c085ea,dataset/phishing/Nazario_5.csv,2130
32,1,48d66dbd062bd57b,dataset/phishing/phishing_2024.csv,159
