email_id,model,true_label,true_label_text,raw_response,predicted_label,predicted_label_text,phishing_likelihood,indicators,parse_note,is_correct,is_error,was_repaired,elapsed_seconds,input_tokens,output_tokens,error_message
18,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Email appears to be a mailing list digest or forwarded thread compilation"",     ""Multiple sender addresses with suspicious or obfuscated domains (mail.net.mk, bagra.net.mk, signiant.com, gmail.com)"",     ""Garbled or incomplete email headers and message IDs"",     ""Content is technical discussion about Linux systems, not a direct communication"",     ""Email is truncated/incomplete at the end"",     ""Mix of legitimate-looking technical content with suspicious sender patterns""   ],   ""phishing_likelihood"": 25,   ""classification"": ""legitimate"" } ```  **Justification:** This appears to be a legitimate mailing list digest or forwarded thread compilation from open-source Linux communities (openSUSE, TuxOnIce). While there are some unusual elements (multiple senders, some suspicious-looking domains, incomplete formatting), the content is genuine technical discussion about Linux system administration. The email lacks typical phishing indicators like urgent calls-to-action, requests for credentials, suspicious links, or threats. The garbled appearance is consistent with how mailing list digests or forwarded threads sometimes display. No sensitive information is being requested, and there are no malicious links or attachments mentioned.",0,LEGÍTIMO,25,"Email appears to be a mailing list digest or forwarded thread compilation | Multiple sender addresses with suspicious or obfuscated domains (mail.net.mk, bagra.net.mk, signiant.com, gmail.com) | Garbled or incomplete email headers and message IDs | Content is technical discussion about Linux systems, not a direct communication | Email is truncated/incomplete at the end | Mix of legitimate-looking technical content with suspicious sender patterns",,True,False,False,4.2536,1731,287,
51,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 0,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,0,,indicators inválida: [],True,False,False,1.604,524,36,
62,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Unsolicited promotional email for health product"",     ""Vague sender information (no organization name or contact details provided)"",     ""Guaranteed results claim (unrealistic promise)"",     ""Generic greeting and impersonal tone"",     ""Pressure language ('Money back guarantee', 'Guaranteed results')"",     ""Typical spam/marketing email characteristics"",     ""No unsubscribe information visible""   ],   ""phishing_likelihood"": 35,   ""classification"": ""legitimate"" } ```  **Justification:** While this email exhibits several spam and marketing red flags (unsolicited promotion, vague sender, unrealistic guarantees, pressure tactics), it does not display the hallmark characteristics of a phishing attack. It is not attempting to steal credentials, financial information, or personal data through deceptive links or urgent action requests. Instead, it appears to be a straightforward (albeit aggressive) spam/marketing email promoting a health product. Phishing emails typically impersonate legitimate organizations and request sensitive information; this email simply tries to sell a product.",0,LEGÍTIMO,35,"Unsolicited promotional email for health product | Vague sender information (no organization name or contact details provided) | Guaranteed results claim (unrealistic promise) | Generic greeting and impersonal tone | Pressure language ('Money back guarantee', 'Guaranteed results') | Typical spam/marketing email characteristics | No unsubscribe information visible",,False,False,False,3.1979,339,250,
75,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious unsubscribe link with non-CNN domain (ceas-challenge.cc)"",     ""Email tracking parameter in unsubscribe URL"",     ""Links use redirect service (cnn.com/video/partners/email) rather than direct CNN URLs"",     ""Dated content from 2008 suggests this may be a historical phishing example""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious unsubscribe link with non-CNN domain (ceas-challenge.cc) | Email tracking parameter in unsubscribe URL | Links use redirect service (cnn.com/video/partners/email) rather than direct CNN URLs | Dated content from 2008 suggests this may be a historical phishing example,,True,False,False,1.8651,1742,122,
121,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.7531,513,36,
124,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,1.5415,448,36,
146,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.9895,564,36,
208,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Generic job alert email from legitimate service"",     ""Multiple 'APPLY' links that could be exploited"",     ""Sponsored content mixed with job listings"",     ""No personalization or account-specific details visible"",     ""Older job posting format (appears to be from early 2000s based on technologies listed)""   ],   ""phishing_likelihood"": 15,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,15,Generic job alert email from legitimate service | Multiple 'APPLY' links that could be exploited | Sponsored content mixed with job listings | No personalization or account-specific details visible | Older job posting format (appears to be from early 2000s based on technologies listed),,True,False,False,1.84,1552,113,
233,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious unsubscribe link with encoded parameters and non-CNN domain (gvc.ceas-challenge.cc)"",     ""All video links redirect through cnn.com/video/partners/email/index.html with URL parameters"",     ""Email structure and formatting consistent with legitimate CNN newsletter"",     ""Proper CNN branding and footer information present"",     ""Legitimate opt-out and preference management links provided""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious unsubscribe link with encoded parameters and non-CNN domain (gvc.ceas-challenge.cc) | All video links redirect through cnn.com/video/partners/email/index.html with URL parameters | Email structure and formatting consistent with legitimate CNN newsletter | Proper CNN branding and footer information present | Legitimate opt-out and preference management links provided,,True,False,False,2.2356,1745,135,
234,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.7476,694,36,
238,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.8647,1762,36,
271,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.8115,505,36,
301,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Mailing list digest format with legitimate structure"",     ""Valid University of Waikato domain (waikato.ac.nz)"",     ""Legitimate technical discussion content about Weka machine learning"",     ""Proper mailing list headers and formatting"",     ""No requests for sensitive information"",     ""No urgent or threatening language"",     ""Links are to legitimate mailing list management pages""   ],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,Mailing list digest format with legitimate structure | Valid University of Waikato domain (waikato.ac.nz) | Legitimate technical discussion content about Weka machine learning | Proper mailing list headers and formatting | No requests for sensitive information | No urgent or threatening language | Links are to legitimate mailing list management pages,,True,False,False,2.5036,1577,131,
334,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious redirect URL pattern in links (cnn.com/video/partners/email/index.html with query parameters)"",     ""Email address in unsubscribe link contains 'gvc.ceas-challenge.cc' domain instead of CNN's domain"",     ""Links use redirect/tracking service rather than direct CNN URLs"",     ""Dated content from 2008 being sent as current news""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious redirect URL pattern in links (cnn.com/video/partners/email/index.html with query parameters) | Email address in unsubscribe link contains 'gvc.ceas-challenge.cc' domain instead of CNN's domain | Links use redirect/tracking service rather than direct CNN URLs | Dated content from 2008 being sent as current news,,True,False,False,1.9668,1726,132,
341,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Email appears to be an automated bug report notification from Apache SpamAssassin issue tracker"",     ""Contains legitimate technical content about a software bug"",     ""Includes proper bug tracking metadata and assignment information"",     ""Link is to a legitimate Apache project domain (issues.apache.org)"",     ""No requests for sensitive information or credentials"",     ""No urgent or threatening language"",     ""Sender context is consistent with automated notification system""   ],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,Email appears to be an automated bug report notification from Apache SpamAssassin issue tracker | Contains legitimate technical content about a software bug | Includes proper bug tracking metadata and assignment information | Link is to a legitimate Apache project domain (issues.apache.org) | No requests for sensitive information or credentials | No urgent or threatening language | Sender context is consistent with automated notification system,,True,False,False,1.8991,602,137,
346,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious shortened/obfuscated URL (shinedear.com)"",     ""Unsolicited promotional content"",     ""Generic greeting with no personalization"",     ""Misleading subject line unrelated to body content"",     ""Typical spam/phishing pattern promoting dubious products"",     ""No legitimate sender information or organization details""   ],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,Suspicious shortened/obfuscated URL (shinedear.com) | Unsolicited promotional content | Generic greeting with no personalization | Misleading subject line unrelated to body content | Typical spam/phishing pattern promoting dubious products | No legitimate sender information or organization details,,True,False,False,1.695,314,119,
349,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Unsolicited promotional content for adult products"",     ""Suspicious shortened/obfuscated URL (dearbright.com)"",     ""Sexually explicit language and claims"",     ""Incoherent text mixing unrelated political statements"",     ""No legitimate sender information or organization context"",     ""Typical spam/phishing email structure"",     ""Pressure language implying product efficacy claims""   ],   ""phishing_likelihood"": 85,   ""classification"": ""phishing"" } ```",1,PHISHING,85,Unsolicited promotional content for adult products | Suspicious shortened/obfuscated URL (dearbright.com) | Sexually explicit language and claims | Incoherent text mixing unrelated political statements | No legitimate sender information or organization context | Typical spam/phishing email structure | Pressure language implying product efficacy claims,,True,False,False,2.1473,359,133,
369,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious redirect URL pattern in links (cnn.com/video/partners/email/index.html with query parameters)"",     ""Email address in unsubscribe link contains unusual domain (gvc.ceas-challenge.cc) inconsistent with CNN.com"",     ""All video links use the same redirect wrapper rather than direct CNN URLs"",     ""Dated content from 2008 suggests this may be a historical phishing example or spam""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious redirect URL pattern in links (cnn.com/video/partners/email/index.html with query parameters) | Email address in unsubscribe link contains unusual domain (gvc.ceas-challenge.cc) inconsistent with CNN.com | All video links use the same redirect wrapper rather than direct CNN URLs | Dated content from 2008 suggests this may be a historical phishing example or spam,,True,False,False,2.1487,1726,141,
409,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious unsubscribe link domain (ceas-challenge.cc) does not match CNN.com"",     ""Email address in unsubscribe URL (email2334@gvc.ceas-challenge.cc) is not a CNN domain"",     ""All video links use redirect through cnn.com/video/partners/email rather than direct CNN URLs"",     ""Redirect pattern suggests tracking or potential malicious redirection""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious unsubscribe link domain (ceas-challenge.cc) does not match CNN.com | Email address in unsubscribe URL (email2334@gvc.ceas-challenge.cc) is not a CNN domain | All video links use redirect through cnn.com/video/partners/email rather than direct CNN URLs | Redirect pattern suggests tracking or potential malicious redirection,,True,False,False,2.0219,1726,138,
428,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.8728,412,36,
473,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious unsubscribe link with shortened/obfuscated URL (ceas-challenge.cc domain)"",     ""Email redirect links through cnn.com/video/partners/email rather than direct video URLs"",     ""Dated content from 2008 (anachronistic for current use)"",     ""Generic newsletter format that could be spoofed""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious unsubscribe link with shortened/obfuscated URL (ceas-challenge.cc domain) | Email redirect links through cnn.com/video/partners/email rather than direct video URLs | Dated content from 2008 (anachronistic for current use) | Generic newsletter format that could be spoofed,,True,False,False,1.8692,1742,122,
509,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 1,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,1,,indicators inválida: [],True,False,False,0.926,440,36,
529,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious shortened/obfuscated URL (donecan.com)"",     ""Unsolicited sexual content"",     ""No legitimate sender information"",     ""Misleading subject line unrelated to body content"",     ""Typical spam/phishing email structure"",     ""No personalization or legitimate business context""   ],   ""phishing_likelihood"": 92,   ""classification"": ""phishing"" } ```",1,PHISHING,92,Suspicious shortened/obfuscated URL (donecan.com) | Unsolicited sexual content | No legitimate sender information | Misleading subject line unrelated to body content | Typical spam/phishing email structure | No personalization or legitimate business context,,True,False,False,2.0917,313,114,
548,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```  **Justification:**  This is a legitimate automated CVS (version control system) commit notification email from the Spambayes project. Key indicators of legitimacy:  1. **Consistent sender domain**: The email comes from a Python.org mailing list (spambayes-checkins@python.org), which is the expected source for Spambayes project notifications.  2. **Technical content**: The email contains standard CVS diff output, file modifications, and code snippets that are typical of automated version control notifications.  3. **No suspicious links or attachments**: The only link is to the legitimate Python.org mailman interface.  4. **No requests for sensitive information**: No passwords, credentials, or personal data are requested.  5. **No urgency or pressure tactics**: The message is a routine technical notification with a casual log message (""Definitely not yet ready for prime time..."").  6. **Proper formatting**: The email follows the standard format of automated CVS commit notifications with proper headers, diffs, and file listings.  This is clearly a legitimate development mailing list notification, not a phishing attempt.",0,LEGÍTIMO,2,,indicators inválida: [],True,False,False,3.919,1316,281,
563,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious unsubscribe link with encoded parameters and unfamiliar domain (ceas-challenge.cc)"",     ""Link redirection through intermediary service (cnn.com/video/partners/email) rather than direct CNN links"",     ""Encoded email tracking parameter in unsubscribe URL"",     ""Mixed legitimate CNN branding with suspicious backend infrastructure""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",1,PHISHING,72,Suspicious unsubscribe link with encoded parameters and unfamiliar domain (ceas-challenge.cc) | Link redirection through intermediary service (cnn.com/video/partners/email) rather than direct CNN links | Encoded email tracking parameter in unsubscribe URL | Mixed legitimate CNN branding with suspicious backend infrastructure,,True,False,False,2.0931,1741,122,
567,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Suspicious shortened/obfuscated URL (madebright.com)"",     ""Celebrity name-dropping (Hugh Grant) for credibility manipulation"",     ""Vague subject line unrelated to body content"",     ""Unsolicited promotional content"",     ""No sender information provided"",     ""Clickbait-style messaging designed to entice clicks"",     ""Likely spam/scam content about dubious 'enhancement' products""   ],   ""phishing_likelihood"": 78,   ""classification"": ""phishing"" } ```",1,PHISHING,78,Suspicious shortened/obfuscated URL (madebright.com) | Celebrity name-dropping (Hugh Grant) for credibility manipulation | Vague subject line unrelated to body content | Unsolicited promotional content | No sender information provided | Clickbait-style messaging designed to entice clicks | Likely spam/scam content about dubious 'enhancement' products,,True,False,False,2.2978,314,142,
