email_id,model,true_label,true_label_text,raw_response,predicted_label,predicted_label_text,phishing_likelihood,indicators,parse_note,is_correct,is_error,was_repaired,elapsed_seconds,input_tokens,output_tokens,error_message
18,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Sender information is unusual (email address does not match expected domain)"", ""Urgent, threatening, or pressuring language (none detected)"", ""Requests for sensitive information (none detected)""],   ""phishing_likelihood"": 20,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,20,"Sender information is unusual (email address does not match expected domain) | Urgent, threatening, or pressuring language (none detected) | Requests for sensitive information (none detected)",,True,False,False,15.9073,1549,64,
51,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Sender information is consistent with the organization (OpenSUSE mailing list)"", ""No suspicious links or attachments"", ""No urgent or threatening language"", ""No requests for sensitive information""],   ""phishing_likelihood"": 0,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,0,Sender information is consistent with the organization (OpenSUSE mailing list) | No suspicious links or attachments | No urgent or threatening language | No requests for sensitive information,,True,False,False,8.7901,482,61,
62,granite4_tiny,1,PHISHING,"{   ""indicators"": [""Suspicious links or attachments"", ""Urgent, threatening, or pressuring language""],   ""phishing_likelihood"": 20,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,20,"Suspicious links or attachments | Urgent, threatening, or pressuring language",,False,False,False,6.8909,316,44,
75,granite4_tiny,1,PHISHING,"{   ""indicators"": [     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9""   ],   ""phishing_likelihood"": 90,   ""classification"": ""phishing"" }",1,PHISHING,90,Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9,,True,False,False,26.731,1493,438,
121,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Sender information is consistent with expected domain"", ""No suspicious links or attachments"", ""No urgent or threatening language"", ""No requests for sensitive information""],   ""phishing_likelihood"": 10,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,10,Sender information is consistent with expected domain | No suspicious links or attachments | No urgent or threatening language | No requests for sensitive information,,True,False,False,7.8904,448,55,
124,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Sender information is consistent with Boost Consulting domain"", ""No suspicious links or attachments"", ""No urgent or threatening language"", ""No request for sensitive information""],   ""phishing_likelihood"": 10,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,10,Sender information is consistent with Boost Consulting domain | No suspicious links or attachments | No urgent or threatening language | No request for sensitive information,,True,False,False,7.2571,396,56,
146,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Sender address does not match expected domain"", ""Suspicious link (none present)""],   ""phishing_likelihood"": 20,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,20,Sender address does not match expected domain | Suspicious link (none present),,True,False,False,7.7963,506,43,
208,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [     ""Sponsored Message"",     ""Move your IT career forward with a degree online from Capella University."",     ""Job Alert Agent: Primary"",     ""See all matches"",     ""Edit Agent""   ],   ""phishing_likelihood"": 10,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,10,Sponsored Message | Move your IT career forward with a degree online from Capella University. | Job Alert Agent: Primary | See all matches | Edit Agent,,True,False,False,12.5229,1327,69,
233,granite4_tiny,1,PHISHING,"{   ""indicators"": [     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn"",     ""Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9""   ],   ""phishing_likelihood"": 90,   ""classification"": ""phishing"" }",1,PHISHING,90,Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn | Suspicious link: http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9,,True,False,False,21.2769,1500,438,
234,granite4_tiny,0,LEGÍTIMO,"{   ""indicators"": [""Suspicious sender information (email address does not match expected domain)"", ""Requests for sensitive information (asking for IP address)"", ""Urgent, threatening or pressuring language (asking for help)"", ""Suspicious links or attachments (none found)""],   ""phishing_likelihood"": 10,   ""classification"": ""legitimate"" }",0,LEGÍTIMO,10,"Suspicious sender information (email address does not match expected domain) | Requests for sensitive information (asking for IP address) | Urgent, threatening or pressuring language (asking for help) | Suspicious links or attachments (none found)",,True,False,False,9.4114,577,76,
