email_id,email_from,model,true_label,true_label_text,raw_response,predicted_label,predicted_label_text,predicted_classification_text,phishing_likelihood,indicators,parse_note,is_correct,is_error,was_repaired,elapsed_seconds,input_tokens,output_tokens,error_message
0,joseph.alamo@enron.com,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,LEGÍTIMO,5,,indicators inválida: [],True,False,False,1.1724,1170,36,
1,Mail Support monkey.org <amia@fmanalyst.com>,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Sender domain mismatch: claims to be from monkey.org but uses fmanalyst.com address"",     ""Suspicious urgency: claims undelivered mail requiring immediate action"",     ""Vague technical excuse: 'system delay' is a common phishing pretext"",     ""Pressure to click: multiple 'Release' buttons and 'RELEASE ALL' call-to-action"",     ""Mismatched footer: copyright shows danuu.com, not monkey.org or fmanalyst.com"",     ""Generic greeting: no personalization beyond email address"",     ""Suspicious recipient domain: uob-edu.net appears to be impersonated educational institution"",     ""HTML-heavy formatting: designed to obscure actual link destinations"",     ""No legitimate contact information: no phone number or official support details""   ],   ""phishing_likelihood"": 92,   ""classification"": ""phishing"" } ```",1,PHISHING,PHISHING,92,"Sender domain mismatch: claims to be from monkey.org but uses fmanalyst.com address | Suspicious urgency: claims undelivered mail requiring immediate action | Vague technical excuse: 'system delay' is a common phishing pretext | Pressure to click: multiple 'Release' buttons and 'RELEASE ALL' call-to-action | Mismatched footer: copyright shows danuu.com, not monkey.org or fmanalyst.com | Generic greeting: no personalization beyond email address | Suspicious recipient domain: uob-edu.net appears to be impersonated educational institution | HTML-heavy formatting: designed to obscure actual link destinations | No legitimate contact information: no phone number or official support details",,True,False,False,2.8942,808,229,
2,kgk@hoegh.no,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.7433,771,36,
3,"""monkey.org mailserver""<summerhill@hkc.com.au>",claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Sender domain mismatch: display name says 'monkey.org mailserver' but email from 'summerhill@hkc.com.au'"",     ""Shortened URL (zpr.io) hidden in plain text link, masking true destination"",     ""Urgent language: 'almost full', 'as soon as possible', 'prevent loss'"",     ""Request to click link and upgrade storage (potential credential harvesting)"",     ""Suspicious URL structure with base64-encoded parameter in shortened link"",     ""Duplicate content in email body suggests mass phishing template"",     ""Typos and spacing issues: 'as so on', 't ool', 'o f' (common in phishing)""   ],   ""phishing_likelihood"": 92,   ""classification"": ""phishing"" } ```",1,PHISHING,PHISHING,92,"Sender domain mismatch: display name says 'monkey.org mailserver' but email from 'summerhill@hkc.com.au' | Shortened URL (zpr.io) hidden in plain text link, masking true destination | Urgent language: 'almost full', 'as soon as possible', 'prevent loss' | Request to click link and upgrade storage (potential credential harvesting) | Suspicious URL structure with base64-encoded parameter in shortened link | Duplicate content in email body suggests mass phishing template | Typos and spacing issues: 'as so on', 't ool', 'o f' (common in phishing)",,True,False,False,2.5633,882,207,
4,mark.taylor@enron.com,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Email subject 'Grief' is vague and unusual for a work email"",     ""Email body contains only a news article with no personal message or context"",     ""No clear purpose or call-to-action from the sender"",     ""Content appears to be copied from a news source without introduction or explanation"",     ""Unusual for a business email to contain only an obituary with no context""   ],   ""phishing_likelihood"": 25,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,LEGÍTIMO,25,Email subject 'Grief' is vague and unusual for a work email | Email body contains only a news article with no personal message or context | No clear purpose or call-to-action from the sender | Content appears to be copied from a news source without introduction or explanation | Unusual for a business email to contain only an obituary with no context,,True,False,False,1.9846,1388,128,
5,rick.dietz@enron.com,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [],   ""phishing_likelihood"": 2,   ""classification"": ""legitimate"" } ```",0,LEGÍTIMO,LEGÍTIMO,2,,indicators inválida: [],True,False,False,0.7727,558,36,
6,"""Nguyen Huong (Purchasing Manager)""<bicjamnagar@vxpress.in>",claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Sender email domain (vxpress.in) does not match typical corporate domain for a purchasing manager"",     ""Display name claims to be 'Nguyen Huong (Purchasing Manager)' but uses suspicious third-party email service"",     ""Vague subject line with cryptic reference number format"",     ""Minimal body content with unclear request to 'double check the revised PI'"",     ""Awkward phrasing and formatting ('ThThank you' appears to be a typo)"",     ""No attachment provided despite request to review a document"",     ""Generic greeting 'Attn' suggests mass or template email"",     ""Unusual email service provider (vxpress.in) for legitimate business communication""   ],   ""phishing_likelihood"": 78,   ""classification"": ""phishing"" } ```",1,PHISHING,PHISHING,78,Sender email domain (vxpress.in) does not match typical corporate domain for a purchasing manager | Display name claims to be 'Nguyen Huong (Purchasing Manager)' but uses suspicious third-party email service | Vague subject line with cryptic reference number format | Minimal body content with unclear request to 'double check the revised PI' | Awkward phrasing and formatting ('ThThank you' appears to be a typo) | No attachment provided despite request to review a document | Generic greeting 'Attn' suggests mass or template email | Unusual email service provider (vxpress.in) for legitimate business communication,,True,False,False,2.3353,376,205,
7,jlokay@yahoo.com,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Email is a forwarded message from 2001 with historical context"",     ""Multiple email addresses involved (jlokay@yahoo.com, jimboman@bigfoot.com, Danielle@buildabear.com)"",     ""Personal information included (name, address, phone numbers)"",     ""Legitimate business correspondence with proper formatting and signatures""   ],   ""phishing_likelihood"": 5,   ""classification"": ""legitimate"" } ```  **Justification:** This is a legitimate business email chain from Build-A-Bear Workshop confirming a children's birthday party reservation. The email contains: - Proper corporate sender information (Danielle Pierce from buildabear.com domain) - Legitimate business content (party confirmation, pricing, policies) - Professional formatting with correct contact details and website links - Coherent conversation flow with original inquiry and response - No requests for sensitive information like passwords or financial data - No suspicious links or urgent/threatening language  The historical date (2001) and personal information are consistent with a genuine party booking confirmation. The only minor oddity is the name discrepancy (Michelle vs. James in the signature), but this is explained by the forwarding chain and is not indicative of phishing.",0,LEGÍTIMO,LEGÍTIMO,5,"Email is a forwarded message from 2001 with historical context | Multiple email addresses involved (jlokay@yahoo.com, jimboman@bigfoot.com, Danielle@buildabear.com) | Personal information included (name, address, phone numbers) | Legitimate business correspondence with proper formatting and signatures",,True,False,False,3.6618,1679,290,
8,Mail Server System<kit@migenetika.com>,claude-haiku-4-5-20251001,1,PHISHING,"```json {   ""indicators"": [     ""Sender domain mismatch: claims to be from 'mail server system' but uses migenetika.com domain, not monkey.org"",     ""Urgent/threatening language: 'UPDATE REQUIRED URGENT' and 'avoid loosing login access'"",     ""Pressure tactics: implies account access will be lost without immediate action"",     ""Vague request: asks to 'CLICK TO UPDATE' without clear explanation"",     ""Generic greeting: addresses recipient by email address rather than name"",     ""Suspicious formatting: inconsistent spacing and grammar ('loosing' instead of 'losing')"",     ""No legitimate link provided: 'CLICK TO UPDATE' appears to be placeholder text"",     ""Mismatched footer: copyright shows 'mail.monkey.org' but sender is migenetika.com""   ],   ""phishing_likelihood"": 92,   ""classification"": ""phishing"" } ```",1,PHISHING,PHISHING,92,"Sender domain mismatch: claims to be from 'mail server system' but uses migenetika.com domain, not monkey.org | Urgent/threatening language: 'UPDATE REQUIRED URGENT' and 'avoid loosing login access' | Pressure tactics: implies account access will be lost without immediate action | Vague request: asks to 'CLICK TO UPDATE' without clear explanation | Generic greeting: addresses recipient by email address rather than name | Suspicious formatting: inconsistent spacing and grammar ('loosing' instead of 'losing') | No legitimate link provided: 'CLICK TO UPDATE' appears to be placeholder text | Mismatched footer: copyright shows 'mail.monkey.org' but sender is migenetika.com",,True,False,False,2.656,392,226,
9,mike.ferguson@americas.bnpparibas.com,claude-haiku-4-5-20251001,0,LEGÍTIMO,"```json {   ""indicators"": [     ""Attachment with generic filename (NG060701.pdf) requesting to be opened"",     ""Generic subject line with market watch theme commonly used in phishing"",     ""Sender domain appears legitimate but attachment-based delivery is suspicious"",     ""Standard confidentiality disclaimer used to appear legitimate"",     ""No personalization or specific context provided"",     ""Pressure to open attachment without explanation of content""   ],   ""phishing_likelihood"": 72,   ""classification"": ""phishing"" } ```",0,LEGÍTIMO,PHISHING,72,Attachment with generic filename (NG060701.pdf) requesting to be opened | Generic subject line with market watch theme commonly used in phishing | Sender domain appears legitimate but attachment-based delivery is suspicious | Standard confidentiality disclaimer used to appear legitimate | No personalization or specific context provided | Pressure to open attachment without explanation of content,,True,False,False,2.0062,629,130,
