"id","subject","body","label"
"1","Sua conta bancária foi suspensa","Prezado cliente, identificamos atividades suspeitas em sua conta. Para evitar o bloqueio definitivo, clique no link abaixo e confirme seus dados imediatamente: http://banco-seguro-verificacao.xyz/login. Não responder a este e-mail pode resultar no cancelamento da sua conta. Atenciosamente, Equipe de Segurança Banco.","1"
"2","Reunião de equipe — quinta-feira 14h","Oi pessoal, confirmando a reunião de alinhamento do projeto para quinta-feira às 14h na sala 3. Pauta: revisão do cronograma e definição das entregas do Q3. Por favor, confirmem presença até amanhã. Abraços, Marina","0"
"3","URGENTE: Você ganhou R$ 50.000,00!","Parabéns! Você foi selecionado como ganhador do nosso sorteio anual. Para receber o prêmio, acesse http://premios-brasil-oficial.net/resgatar e preencha seus dados bancários. O prazo para resgate é de 24 horas. Não perca essa oportunidade única!","1"
"4","Nota fiscal referente ao pedido #4821","Segue em anexo a nota fiscal eletrônica referente ao pedido número 4821 realizado em 02/06/2025. Em caso de dúvidas sobre a compra, entre em contato pelo telefone (11) 3456-7890 ou pelo e-mail sac@loja.com.br. Obrigado pela preferência.","0"
"5","Ação necessária: atualize seu cadastro agora","Caro usuário, seu cadastro está desatualizado. Caso não atualize suas informações em até 48 horas, sua conta será encerrada. Acesse: http://atualiza-cadastro-urgente.tk/form e insira CPF, senha e dados do cartão. Equipe de Suporte.","1"
"6","Feedback da apresentação de ontem","Olá João, queria te parabenizar pela apresentação de ontem. Os slides ficaram muito bem organizados e os dados de mercado que você trouxe foram exatamente o que o cliente precisava ver. Vamos marcar uma conversa para discutir os próximos passos? Um abraço, Carlos.","0"
"7","Confirmação de login suspeito detectado — verifique agora","Detectamos um acesso à sua conta a partir de um dispositivo desconhecido (IP: 185.220.101.45, Rússia). Se não foi você, clique aqui IMEDIATAMENTE para bloquear: http://seguranca-conta-verificar.ml/block. Sua conta será suspensa em 2 horas se nenhuma ação for tomada.","1"
"8","Convite: workshop de inovação — 18 de junho","Prezado colaborador, é com satisfação que convidamos você para o Workshop de Inovação e Transformação Digital que acontecerá no dia 18 de junho, das 9h às 17h, no auditório principal. As inscrições podem ser feitas pelo portal interno da empresa até 10 de junho. Contamos com sua presença!","0"
"9","Seu pacote foi retido na alfândega — pague a taxa agora","Seu pacote internacional foi retido na alfândega brasileira. Para liberação, é necessário o pagamento de R$ 89,90 de taxa de desembaraço aduaneiro. Acesse http://correios-liberacao-pacote.xyz/pagar e efetue o pagamento em até 5 dias úteis para evitar devolução.","1"
"10","Resultado da entrevista para vaga de Desenvolvedor Sênior","Olá Ana, obrigado pela sua participação no processo seletivo para a vaga de Desenvolvedor Sênior. É com prazer que informamos que você foi aprovada em todas as etapas. Nossa equipe de RH entrará em contato nos próximos dias úteis para tratar dos detalhes da proposta. Parabéns! Equipe de Recrutamento.","0"
